Script_Ethical_Score,Script_educational_Score,Script_Islamic_Score,Script_social_Score,Script_emotional_Score, Action, Adventure, Biography, Comedy, Crime, Drama, Educational, Family, Fantasy, History, Horror, Islamic, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Animation,Average_Age,Cluster,GMM_Cluster
1.5625,3.75,2.404546287809347,3.035909550396494,2.7177061243997507,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,3
2.5000000000000004,3.25,2.404546287809347,1.5157350585218998,1.6436381664868993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,3,3
1.5625,2.333333333333333,2.404546287809347,4.1044358695264025,2.093285813968901,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.0,4,2
1.7187500000000009,1.7500000000000002,1.8262791826171363,2.020389688721097,1.6136088017476655,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,11.0,4,2
1.4062500000000004,2.333333333333333,2.404546287809347,3.5548894278380216,2.699120891708496,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,4,2
2.031250000000001,2.25,2.404546287809347,3.003386287576681,0.0311582369532445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,1,3
1.250000000000001,1.9999999999999998,2.404546287809347,3.3481044284985013,3.5935303481250784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,3
2.5000000000000004,2.5,2.404546287809347,2.461118489025243,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,1,2
2.5000000000000004,2.833333333333333,2.404546287809347,3.1478797132985226,1.7720819037255249,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,12.0,4,2
2.031250000000001,3.833333333333333,1.3413241204258646,3.2449352493278587,2.35091677191132,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,2,2
1.4062500000000004,3.0,0.0,3.176390220892122,2.4761161857412213,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0,2,2
1.4062500000000004,3.333333333333333,2.404546287809347,3.051886296987767,2.8553393012670463,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.0,0,0
2.031250000000001,2.6666666666666665,2.404546287809347,2.79944653019545,1.829534143233608,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,11.0,4,2
1.8750000000000002,2.4166666666666665,2.404546287809347,3.107443450632945,1.768099240161546,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,9.0,1,0
2.34375,2.5833333333333335,2.404546287809347,3.318726414271991,1.7019799008354932,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1,3
1.5625,2.833333333333333,1.149943387070684,3.318726414271991,1.7019799008354932,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,2,3
2.1875000000000004,3.9166666666666665,2.404546287809347,0.0,3.717464073007077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.0,0,0
4.531250000000001,3.75,2.404546287809347,2.5447195532287887,1.6071117971289042,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,1,3
2.031250000000001,3.1666666666666665,2.404546287809347,3.1005782060411606,1.807199524205456,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0,1,2
1.0937500000000002,0.9999999999999999,2.404546287809347,3.4402104615394817,1.941888067691437,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.0,4,2
0.78125,2.916666666666667,2.404546287809347,0.0,0.0441960767828123,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,3,2
2.65625,3.333333333333333,2.404546287809347,2.6915217211524745,1.84932044355852,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1,3
3.7500000000000004,3.25,2.404546287809347,3.0188418664354835,2.1719661699308963,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,1,2
1.5625,3.75,2.404546287809347,3.385738373047118,2.451611884965623,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,4,2
2.65625,2.5833333333333335,2.404546287809347,3.5153876593807376,2.550687070920331,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,2
1.0937500000000002,3.416666666666666,2.404546287809347,2.358489173976252,1.7521664076776335,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,9.0,3,2
2.5000000000000004,1.3333333333333333,2.404546287809347,2.182540020045458,3.253726546811642,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.0,4,0
0.6250000000000006,2.25,2.404546287809347,2.540394340544095,1.697206234614255,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.0,4,2
